Date,Population,Daylength,Sunrise_Time,Year,Sunrise_Temp,Daily_max,Daily_min
6.01,CO,14.833,5:31 AM,2014,12.22222222,27.77777778,11.66666667
6.01,CO,14.833,5:31 AM,2015,11.11111111,27.22222222,11.11111111
6.01,CO,14.833,5:31 AM,2016,8.888888889,22.22222222,8.888888889
6.01,CO,14.833,5:31 AM,2017,10.55555556,26.11111111,8.333333333
6.01,CO,14.833,5:31 AM,2018,12.77777778,30.55555556,10
6.01,CO,14.833,5:31 AM,2019,8.888888889,23.33333333,7.777777778
6.01,CO,14.833,5:31 AM,2020,15.55555556,31.66666667,12.22222222
6.01,CO,14.833,5:31 AM,2021,6.666666667,20,3.888888889
6.01,CO,14.833,5:31 AM,2022,6.111111111,12.22222222,3.888888889
6.01,CO,14.833,5:31 AM,2023,11.66666667,21.66666667,10
6.15,CO,15,5:31 AM,2014,7.222222222,24.44444444,5
6.15,CO,15,5:31 AM,2015,12.77777778,26.11111111,11.66666667
6.15,CO,15,5:31 AM,2016,3.888888889,31.66666667,11.11111111
6.15,CO,15,5:31 AM,2017,12.22222222,31.66666667,10.55555556
6.15,CO,15,5:31 AM,2018,18.33333333,31.66666667,16.66666667
6.15,CO,15,5:31 AM,2019,12.22222222,26.11111111,10.55555556
6.15,CO,15,5:31 AM,2020,12.22222222,32.22222222,11.11111111
6.15,CO,15,5:31 AM,2021,15,35.55555556,13.88888889
6.15,CO,15,5:31 AM,2022,11.11111111,30.55555556,7.222222222
6.15,CO,15,5:31 AM,2023,13.88888889,23.88888889,11.66666667
7.01,CO,14.95,5:36,2014,12.77777778,28.88888889,11.11111111
7.01,CO,14.95,5:36,2015,17.22222222,31.11111111,15.55555556
7.01,CO,14.95,5:36,2016,2.777777778,24.44444444,13.88888889
7.01,CO,14.95,5:36,2017,13.88888889,30.55555556,9.444444444
7.01,CO,14.95,5:36,2018,9.444444444,30.55555556,7.777777778
7.01,CO,14.95,5:36,2019,16.66666667,28.88888889,13.33333333
7.01,CO,14.95,5:36,2020,14.44444444,30,8.888888889
7.01,CO,14.95,5:36,2021,17.77777778,25,13.88888889
7.01,CO,14.95,5:36,2022,12.22222222,28.88888889,10.55555556
7.01,CO,14.95,5:36,2023,7.222222222,27.77777778,8.888888889
7.15,CO,14.72,5:45,2014,13.88888889,27.77777778,12.22222222
7.15,CO,14.72,5:45,2015,16.11111111,28.33333333,12.77777778
7.15,CO,14.72,5:45,2016,13.33333333,31.66666667,12.22222222
7.15,CO,14.72,5:45,2017,15.55555556,30,14.44444444
7.15,CO,14.72,5:45,2018,18.88888889,33.88888889,16.11111111
7.15,CO,14.72,5:45,2019,16.66666667,34.44444444,14.44444444
7.15,CO,14.72,5:45,2020,15,26.11111111,11.66666667
7.15,CO,14.72,5:45,2021,11.66666667,27.77777778,11.11111111
7.15,CO,14.72,5:45,2022,21.11111111,31.66666667,16.66666667
7.15,CO,14.72,5:45,2023,13.88888889,28.88888889,11.66666667
8.01,CO,14.23,6:00 AM,2014,12.77777778,26.66666667,14.44444444
8.01,CO,14.23,6:00 AM,2015,13.88888889,32.22222222,13.88888889
8.01,CO,14.23,6:00 AM,2016,16.11111111,35,13.88888889
8.01,CO,14.23,6:00 AM,2017,15.55555556,31.11111111,13.33333333
8.01,CO,14.23,6:00 AM,2018,14.44444444,29.44444444,11.11111111
8.01,CO,14.23,6:00 AM,2019,16.66666667,28.33333333,15.55555556
8.01,CO,14.23,6:00 AM,2020,14.44444444,31.11111111,15
8.01,CO,14.23,6:00 AM,2021,15.55555556,26.66666667,13.33333333
8.01,CO,14.23,6:00 AM,2022,17.77777778,33.88888889,15.55555556
8.01,CO,14.23,6:00 AM,2023,17.77777778,27.22222222,15.55555556
8.15,CO,13.73,6:13 AM,2014,16.11111111,31.11111111,13.88888889
8.15,CO,13.73,6:13 AM,2015,16.11111111,35.55555556,15
8.15,CO,13.73,6:13 AM,2016,16.11111111,32.22222222,13.88888889
8.15,CO,13.73,6:13 AM,2017,13.88888889,27.22222222,11.66666667
8.15,CO,13.73,6:13 AM,2018,12.77777778,31.11111111,12.22222222
8.15,CO,13.73,6:13 AM,2019,12.77777778,35,12.77777778
8.15,CO,13.73,6:13 AM,2020,13.33333333,33.33333333,11.11111111
8.15,CO,13.73,6:13 AM,2021,19.44444444,31.66666667,16.66666667
8.15,CO,13.73,6:13 AM,2022,19.44444444,26.66666667,16.66666667
8.15,CO,13.73,6:13 AM,2023,11.11111111,32.77777778,10.55555556
9.01,CO,13.03,6:29 AM,2014,10,28.88888889,7.777777778
9.01,CO,13.03,6:29 AM,2015,12.22222222,32.77777778,12.22222222
9.01,CO,13.03,6:29 AM,2016,13.88888889,29.44444444,10.55555556
9.01,CO,13.03,6:29 AM,2017,15.55555556,30.55555556,13.88888889
9.01,CO,13.03,6:29 AM,2018,13.33333333,27.22222222,12.22222222
9.01,CO,13.03,6:29 AM,2019,15,36.66666667,11.66666667
9.01,CO,13.03,6:29 AM,2020,8.888888889,27.77777778,8.888888889
9.01,CO,13.03,6:29 AM,2021,16.11111111,30.55555556,13.88888889
9.01,CO,13.03,6:29 AM,2022,14.44444444,34.44444444,11.66666667
9.01,CO,13.03,6:29 AM,2023,15,35.55555556,11.11111111
9.15,CO,12.43,6:42,2014,7.777777778,25,7.777777778
9.15,CO,12.43,6:42,2015,17.77777778,30,13.33333333
9.15,CO,12.43,6:42,2016,8.888888889,23.33333333,6.666666667
9.15,CO,12.43,6:42,2017,13.33333333,28.33333333,10.55555556
9.15,CO,12.43,6:42,2018,13.33333333,33.88888889,11.11111111
9.15,CO,12.43,6:42,2019,12.22222222,30.55555556,8.888888889
9.15,CO,12.43,6:42,2020,11.66666667,31.11111111,11.11111111
9.15,CO,12.43,6:42,2021,11.11111111,32.22222222,8.888888889
9.15,CO,12.43,6:42,2022,15,25.55555556,11.11111111
9.15,CO,12.43,6:42,2023,12.77777778,18.88888889,10.55555556
9.3,CO,11.78,6:57,2014,6.111111111,19.44444444,5
9.3,CO,11.78,6:57,2015,11.11111111,25,11.11111111
9.3,CO,11.78,6:57,2016,12.77777778,22.77777778,10.55555556
9.3,CO,11.78,6:57,2017,7.222222222,18.88888889,5
9.3,CO,11.78,6:57,2018,7.222222222,22.77777778,4.444444444
9.3,CO,11.78,6:57,2019,10.55555556,27.77777778,7.222222222
9.3,CO,11.78,6:57,2020,10,23.88888889,8.888888889
9.3,CO,11.78,6:57,2021,7.222222222,12.22222222,5.555555556
9.3,CO,11.78,6:57,2022,11.11111111,26.11111111,10
9.3,CO,11.78,6:57,2023,8.888888889,28.33333333,7.777777778
3.01,AZ,11.52,6:50,2014,17.77777778,20.55555556,11.66666667
3.01,AZ,11.52,6:50,2015,12.77777778,24.44444444,11.66666667
3.01,AZ,11.52,6:50,2016,11.11111111,29.44444444,10.55555556
3.01,AZ,11.52,6:50,2017,5,21.66666667,4.444444444
3.01,AZ,11.52,6:50,2018,3.888888889,21.11111111,1.111111111
3.01,AZ,11.52,6:50,2019,9.444444444,25,8.333333333
3.01,AZ,11.52,6:50,2020,12.77777778,19.44444444,12.77777778
3.01,AZ,11.52,6:50,2021,0.555555556,20,0
3.01,AZ,11.52,6:50,2022,7.777777778,28.33333333,5.555555556
3.01,AZ,11.52,6:50,2023,14.44444444,17.77777778,0.555555556
3.15,AZ,11.98,6:33,2014,8.888888889,24.44444444,8.333333333
3.15,AZ,11.98,6:33,2015,15.55555556,27.22222222,12.22222222
3.15,AZ,11.98,6:33,2016,9.444444444,28.33333333,9.444444444
3.15,AZ,11.98,6:33,2017,13.88888889,32.77777778,13.88888889
3.15,AZ,11.98,6:33,2018,13.33333333,21.11111111,12.22222222
3.15,AZ,11.98,6:33,2019,3.333333333,21.11111111,1.666666667
3.15,AZ,11.98,6:33,2020,8.888888889,25,8.888888889
3.15,AZ,11.98,6:33,2021,7.222222222,21.11111111,6.666666667
3.15,AZ,11.98,6:33,2022,8.333333333,30.55555556,7.777777778
3.15,AZ,11.98,6:33,2023,16.66666667,21.11111111,14.44444444
