Population,Date,Year,Max,max_temp,Min,min_temp,Average,mean_temp,daylength_hours
AZ,3.01,2014,69,20.55555556,53,11.66666667,61,16.11111111,11.49972222
AZ,3.02,2014,65,18.33333333,47,8.333333333,56,13.33333333,11.53222222
AZ,3.03,2014,72,22.22222222,50,10,61,16.11111111,11.56472222
AZ,3.04,2014,73,22.77777778,51,10.55555556,62,16.66666667,11.5975
AZ,3.05,2014,78,25.55555556,48,8.888888889,63,17.22222222,11.63
AZ,3.06,2014,83,28.33333333,52,11.11111111,67.5,19.72222222,11.66277778
AZ,3.07,2014,79,26.11111111,50,10,64.5,18.05555556,11.69555556
AZ,3.08,2014,76,24.44444444,50,10,63,17.22222222,11.72861111
AZ,3.09,2014,73,22.77777778,54,12.22222222,63.5,17.5,11.76138889
AZ,3.10,2014,78,25.55555556,52,11.11111111,65,18.33333333,11.79444444
AZ,3.11,2014,78,25.55555556,50,10,64,17.77777778,11.8275
AZ,3.12,2014,81,27.22222222,49,9.444444444,65,18.33333333,11.86055556
AZ,3.13,2014,82,27.77777778,60,15.55555556,71,21.66666667,11.89361111
AZ,3.14,2014,72,22.22222222,49,9.444444444,60.5,15.83333333,11.92666667
AZ,3.15,2014,76,24.44444444,47,8.333333333,61.5,16.38888889,11.96
AZ,3.16,2014,75,23.88888889,50,10,62.5,16.94444444,11.99305556
AZ,3.17,2014,84,28.88888889,48,8.888888889,66,18.88888889,12.02611111
AZ,3.18,2014,79,26.11111111,50,10,64.5,18.05555556,12.05944444
AZ,3.19,2014,81,27.22222222,47,8.333333333,64,17.77777778,12.0925
AZ,3.20,2014,84,28.88888889,48,8.888888889,66,18.88888889,12.12583333
AZ,3.21,2014,81,27.22222222,51,10.55555556,66,18.88888889,12.15888889
AZ,3.22,2014,82,27.77777778,48,8.888888889,65,18.33333333,12.19222222
AZ,3.23,2014,82,27.77777778,51,10.55555556,66.5,19.16666667,12.22527778
AZ,3.24,2014,83,28.33333333,52,11.11111111,67.5,19.72222222,12.25861111
AZ,3.25,2014,83,28.33333333,51,10.55555556,67,19.44444444,12.29166667
AZ,3.26,2014,83,28.33333333,54,12.22222222,68.5,20.27777778,12.32472222
AZ,3.27,2014,74,23.33333333,52,11.11111111,63,17.22222222,12.35777778
AZ,3.28,2014,75,23.88888889,46,7.777777778,60.5,15.83333333,12.39083333
AZ,3.29,2014,86,30,47,8.333333333,66.5,19.16666667,12.42361111
AZ,3.30,2014,82,27.77777778,56,13.33333333,69,20.55555556,12.45666667
AZ,3.31,2014,83,28.33333333,48,8.888888889,65.5,18.61111111,12.48944444
AZ,3.01,2015,76,24.44444444,53,11.66666667,64.5,18.05555556,11.49972222
AZ,3.02,2015,69,20.55555556,51,10.55555556,60,15.55555556,11.53222222
AZ,3.03,2015,63,17.22222222,46,7.777777778,54.5,12.5,11.56472222
AZ,3.04,2015,63,17.22222222,47,8.333333333,55,12.77777778,11.5975
AZ,3.05,2015,71,21.66666667,39,3.888888889,55,12.77777778,11.63
AZ,3.06,2015,77,25,48,8.888888889,62.5,16.94444444,11.66277778
AZ,3.07,2015,79,26.11111111,53,11.66666667,66,18.88888889,11.69555556
AZ,3.08,2015,77,25,48,8.888888889,62.5,16.94444444,11.72861111
AZ,3.09,2015,79,26.11111111,47,8.333333333,63,17.22222222,11.76138889
AZ,3.10,2015,81,27.22222222,49,9.444444444,65,18.33333333,11.79444444
AZ,3.11,2015,82,27.77777778,50,10,66,18.88888889,11.8275
AZ,3.12,2015,80,26.66666667,60,15.55555556,70,21.11111111,11.86055556
AZ,3.13,2015,80,26.66666667,53,11.66666667,66.5,19.16666667,11.89361111
AZ,3.14,2015,81,27.22222222,54,12.22222222,67.5,19.72222222,11.92666667
AZ,3.15,2015,81,27.22222222,54,12.22222222,67.5,19.72222222,11.96
AZ,3.16,2015,85,29.44444444,58,14.44444444,71.5,21.94444444,11.99305556
AZ,3.17,2015,83,28.33333333,57,13.88888889,70,21.11111111,12.02611111
AZ,3.18,2015,72,22.22222222,56,13.33333333,64,17.77777778,12.05944444
AZ,3.19,2015,69,20.55555556,53,11.66666667,61,16.11111111,12.0925
AZ,3.20,2015,78,25.55555556,49,9.444444444,63.5,17.5,12.12583333
AZ,3.21,2015,80,26.66666667,52,11.11111111,66,18.88888889,12.15888889
AZ,3.22,2015,83,28.33333333,52,11.11111111,67.5,19.72222222,12.19222222
AZ,3.23,2015,84,28.88888889,53,11.66666667,68.5,20.27777778,12.22527778
AZ,3.24,2015,84,28.88888889,50,10,67,19.44444444,12.25861111
AZ,3.25,2015,82,27.77777778,52,11.11111111,67,19.44444444,12.29166667
AZ,3.26,2015,86,30,52,11.11111111,69,20.55555556,12.32472222
AZ,3.27,2015,93,33.88888889,53,11.66666667,73,22.77777778,12.35777778
AZ,3.28,2015,93,33.88888889,53,11.66666667,73,22.77777778,12.39083333
AZ,3.29,2015,92,33.33333333,59,15,75.5,24.16666667,12.42361111
AZ,3.30,2015,93,33.88888889,62,16.66666667,77.5,25.27777778,12.45666667
AZ,3.31,2015,90,32.22222222,59,15,74.5,23.61111111,12.48944444
AZ,3.01,2016,85,29.44444444,51,10.55555556,68,20,11.49972222
AZ,3.02,2016,86,30,51,10.55555556,68.5,20.27777778,11.53222222
AZ,3.03,2016,89,31.66666667,53,11.66666667,71,21.66666667,11.56472222
AZ,3.04,2016,89,31.66666667,54,12.22222222,71.5,21.94444444,11.5975
AZ,3.05,2016,85,29.44444444,54,12.22222222,69.5,20.83333333,11.63
AZ,3.06,2016,81,27.22222222,57,13.88888889,69,20.55555556,11.66277778
AZ,3.07,2016,70,21.11111111,47,8.333333333,58.5,14.72222222,11.69555556
AZ,3.08,2016,64,17.77777778,44,6.666666667,54,12.22222222,11.72861111
AZ,3.09,2016,76,24.44444444,40,4.444444444,58,14.44444444,11.76138889
AZ,3.10,2016,84,28.88888889,45,7.222222222,64.5,18.05555556,11.79444444
AZ,3.11,2016,87,30.55555556,52,11.11111111,69.5,20.83333333,11.8275
AZ,3.12,2016,70,21.11111111,51,10.55555556,60.5,15.83333333,11.86055556
AZ,3.13,2016,77,25,44,6.666666667,60.5,15.83333333,11.89361111
AZ,3.14,2016,79,26.11111111,48,8.888888889,63.5,17.5,11.92666667
AZ,3.15,2016,83,28.33333333,49,9.444444444,66,18.88888889,11.96
AZ,3.16,2016,85,29.44444444,50,10,67.5,19.72222222,11.99305556
AZ,3.17,2016,85,29.44444444,52,11.11111111,68.5,20.27777778,12.02611111
AZ,3.18,2016,84,28.88888889,53,11.66666667,68.5,20.27777778,12.05944444
AZ,3.19,2016,86,30,52,11.11111111,69,20.55555556,12.0925
AZ,3.20,2016,88,31.11111111,51,10.55555556,69.5,20.83333333,12.12583333
AZ,3.21,2016,91,32.77777778,55,12.77777778,73,22.77777778,12.15888889
AZ,3.22,2016,86,30,53,11.66666667,69.5,20.83333333,12.19222222
AZ,3.23,2016,70,21.11111111,52,11.11111111,61,16.11111111,12.22527778
AZ,3.24,2016,78,25.55555556,42,5.555555556,60,15.55555556,12.25861111
AZ,3.25,2016,81,27.22222222,46,7.777777778,63.5,17.5,12.29166667
AZ,3.26,2016,84,28.88888889,51,10.55555556,67.5,19.72222222,12.32472222
AZ,3.27,2016,84,28.88888889,52,11.11111111,68,20,12.35777778
AZ,3.28,2016,83,28.33333333,55,12.77777778,69,20.55555556,12.39083333
AZ,3.29,2016,67,19.44444444,54,12.22222222,60.5,15.83333333,12.42361111
AZ,3.30,2016,65,18.33333333,48,8.888888889,56.5,13.61111111,12.45666667
AZ,3.31,2016,65,18.33333333,40,4.444444444,52.5,11.38888889,12.48944444
AZ,3.01,2017,71,21.66666667,40,4.444444444,55.5,13.05555556,11.49972222
AZ,3.02,2017,79,26.11111111,40,4.444444444,59.5,15.27777778,11.53222222
AZ,3.03,2017,76,24.44444444,59,15,67.5,19.72222222,11.56472222
AZ,3.04,2017,81,27.22222222,51,10.55555556,66,18.88888889,11.5975
AZ,3.05,2017,76,24.44444444,55,12.77777778,65.5,18.61111111,11.63
AZ,3.06,2017,68,20,46,7.777777778,57,13.88888889,11.66277778
AZ,3.07,2017,79,26.11111111,40,4.444444444,59.5,15.27777778,11.69555556
AZ,3.08,2017,87,30.55555556,46,7.777777778,66.5,19.16666667,11.72861111
AZ,3.09,2017,89,31.66666667,50,10,69.5,20.83333333,11.76138889
AZ,3.10,2017,92,33.33333333,53,11.66666667,72.5,22.5,11.79444444
AZ,3.11,2017,89,31.66666667,57,13.88888889,73,22.77777778,11.8275
AZ,3.12,2017,88,31.11111111,55,12.77777778,71.5,21.94444444,11.86055556
AZ,3.13,2017,91,32.77777778,54,12.22222222,72.5,22.5,11.89361111
AZ,3.14,2017,91,32.77777778,56,13.33333333,73.5,23.05555556,11.92666667
AZ,3.15,2017,91,32.77777778,57,13.88888889,74,23.33333333,11.96
AZ,3.16,2017,91,32.77777778,58,14.44444444,74.5,23.61111111,11.99305556
AZ,3.17,2017,92,33.33333333,58,14.44444444,75,23.88888889,12.02611111
AZ,3.18,2017,94,34.44444444,60,15.55555556,77,25,12.05944444
AZ,3.19,2017,94,34.44444444,59,15,76.5,24.72222222,12.0925
AZ,3.20,2017,94,34.44444444,64,17.77777778,79,26.11111111,12.12583333
AZ,3.21,2017,92,33.33333333,62,16.66666667,77,25,12.15888889
AZ,3.22,2017,85,29.44444444,57,13.88888889,71,21.66666667,12.19222222
AZ,3.23,2017,68,20,52,11.11111111,60,15.55555556,12.22527778
AZ,3.24,2017,75,23.88888889,45,7.222222222,60,15.55555556,12.25861111
AZ,3.25,2017,82,27.77777778,47,8.333333333,64.5,18.05555556,12.29166667
AZ,3.26,2017,79,26.11111111,51,10.55555556,65,18.33333333,12.32472222
AZ,3.27,2017,81,27.22222222,52,11.11111111,66.5,19.16666667,12.35777778
AZ,3.28,2017,71,21.66666667,51,10.55555556,61,16.11111111,12.39083333
AZ,3.29,2017,79,26.11111111,47,8.333333333,63,17.22222222,12.42361111
AZ,3.30,2017,87,30.55555556,52,11.11111111,69.5,20.83333333,12.45666667
AZ,3.31,2017,70,21.11111111,51,10.55555556,60.5,15.83333333,12.48944444
AZ,3.01,2018,70,21.11111111,34,1.111111111,52,11.11111111,11.49972222
AZ,3.02,2018,79,26.11111111,41,5,60,15.55555556,11.53222222
AZ,3.03,2018,77,25,45,7.222222222,61,16.11111111,11.56472222
AZ,3.04,2018,69,20.55555556,44,6.666666667,56.5,13.61111111,11.5975
AZ,3.05,2018,69,20.55555556,41,5,55,12.77777778,11.63
AZ,3.06,2018,77,25,43,6.111111111,60,15.55555556,11.66277778
AZ,3.07,2018,81,27.22222222,46,7.777777778,63.5,17.5,11.69555556
AZ,3.08,2018,79,26.11111111,51,10.55555556,65,18.33333333,11.72861111
AZ,3.09,2018,80,26.66666667,50,10,65,18.33333333,11.76138889
AZ,3.10,2018,76,24.44444444,51,10.55555556,63.5,17.5,11.79444444
AZ,3.11,2018,75,23.88888889,59,15,67,19.44444444,11.8275
AZ,3.12,2018,80,26.66666667,53,11.66666667,66.5,19.16666667,11.86055556
AZ,3.13,2018,83,28.33333333,55,12.77777778,69,20.55555556,11.89361111
AZ,3.14,2018,84,28.88888889,58,14.44444444,71,21.66666667,11.92666667
AZ,3.15,2018,70,21.11111111,54,12.22222222,62,16.66666667,11.96
AZ,3.16,2018,74,23.33333333,46,7.777777778,60,15.55555556,11.99305556
AZ,3.17,2018,71,21.66666667,46,7.777777778,58.5,14.72222222,12.02611111
AZ,3.18,2018,63,17.22222222,47,8.333333333,55,12.77777778,12.05944444
AZ,3.19,2018,70,21.11111111,38,3.333333333,54,12.22222222,12.0925
AZ,3.20,2018,79,26.11111111,42,5.555555556,60.5,15.83333333,12.12583333
AZ,3.21,2018,83,28.33333333,50,10,66.5,19.16666667,12.15888889
AZ,3.22,2018,91,32.77777778,56,13.33333333,73.5,23.05555556,12.19222222
AZ,3.23,2018,81,27.22222222,58,14.44444444,69.5,20.83333333,12.22527778
AZ,3.24,2018,79,26.11111111,57,13.88888889,68,20,12.25861111
AZ,3.25,2018,76,24.44444444,50,10,63,17.22222222,12.29166667
AZ,3.26,2018,73,22.77777778,55,12.77777778,64,17.77777778,12.32472222
AZ,3.27,2018,69,20.55555556,45,7.222222222,57,13.88888889,12.35777778
AZ,3.28,2018,74,23.33333333,44,6.666666667,59,15,12.39083333
AZ,3.29,2018,83,28.33333333,49,9.444444444,66,18.88888889,12.42361111
AZ,3.30,2018,85,29.44444444,51,10.55555556,68,20,12.45666667
AZ,3.31,2018,88,31.11111111,56,13.33333333,72,22.22222222,12.48944444
AZ,3.01,2019,77,25,47,8.333333333,62,16.66666667,11.49972222
AZ,3.02,2019,80,26.66666667,50,10,65,18.33333333,11.53222222
AZ,3.03,2019,74,23.33333333,50,10,62,16.66666667,11.56472222
AZ,3.04,2019,74,23.33333333,46,7.777777778,60,15.55555556,11.5975
AZ,3.05,2019,82,27.77777778,45,7.222222222,63.5,17.5,11.63
AZ,3.06,2019,86,30,49,9.444444444,67.5,19.72222222,11.66277778
AZ,3.07,2019,77,25,58,14.44444444,67.5,19.72222222,11.69555556
AZ,3.08,2019,65,18.33333333,46,7.777777778,55.5,13.05555556,11.72861111
AZ,3.09,2019,63,17.22222222,38,3.333333333,50.5,10.27777778,11.76138889
AZ,3.10,2019,73,22.77777778,44,6.666666667,58.5,14.72222222,11.79444444
AZ,3.11,2019,81,27.22222222,50,10,65.5,18.61111111,11.8275
AZ,3.12,2019,58,14.44444444,46,7.777777778,52,11.11111111,11.86055556
AZ,3.13,2019,61,16.11111111,45,7.222222222,53,11.66666667,11.89361111
AZ,3.14,2019,59,15,37,2.777777778,48,8.888888889,11.92666667
AZ,3.15,2019,70,21.11111111,35,1.666666667,52.5,11.38888889,11.96
AZ,3.16,2019,74,23.33333333,55,12.77777778,64.5,18.05555556,11.99305556
AZ,3.17,2019,77,25,53,11.66666667,65,18.33333333,12.02611111
