Population,Month,Year,Monthly_mean_min,Monthly_mean_max,Monthly_average_mean,,,,,,,,,,,,,,,,
AZ,March,2014,10.2222222,25.8333333,18,,,,,,,,,,,,,,,,
AZ,March,2015,11.2777778,26.7777778,19.05555556,,,,,,,,,,,,,,,,
AZ,March,2016,9.94444444,26.7777778,18.33333333,,,,,,,,,,,,,,,,
AZ,March,2017,11.3333333,28.5,19.94444444,,,,,,,,,,,,,,,,
AZ,March,2018,9.38888889,25,17.22222222,,,,,,,,,,,,,,,,
AZ,March,2019,8.77777778,24.2777778,16.5,,,,,,,,,,,,,,,,
AZ,March,2020,9.33333333,22.7777778,16.05555556,,,,,,,,,,,,,,,,
AZ,March,2021,7.94444444,23.9444444,15.94444444,,,,,,,,,,,,,,,,
AZ,March,2022,7.83333333,25.1111111,16.5,,,,,,,,,,,,,,,,
AZ,March,2023,7.94444444,22.1111111,15.05555556,,,,,,,,,,,,,,,,
AZ,April,2014,12.3888889,29,20.66666667,,,,,,,,,,,,,,,,
AZ,April,2015,12.3333333,28.8333333,20.55555556,,,,,,,,,,,,,,,,
AZ,April,2016,12.3888889,28.2777778,20.33333333,,,,,,,,,,,,,,,,
AZ,April,2017,13,30.4444444,21.72222222,,,,,,,,,,,,,,,,
AZ,April,2018,13.7777778,31.3333333,22.55555556,,,,,,,,,,,,,,,,
AZ,April,2019,12.2777778,29.1666667,20.72222222,,,,,,,,,,,,,,,,
AZ,April,2020,12.2777778,29.5,20.88888889,,,,,,,,,,,,,,,,
AZ,April,2021,14.2222222,30.1111111,22.16666667,,,,,,,,,,,,,,,,
AZ,April,2022,12.8333333,31.3888889,22.11111111,,,,,,,,,,,,,,,,
AZ,April,2023,11.7222222,30.4444444,21.11111111,,,,,,,,,,,,,,,,
AZ,May,2014,16.9444444,33.3888889,25.16666667,,,,,,,,,,,,,,,,
AZ,May,2015,15.0555556,30.9444444,23,,,,,,,,,,,,,,,,
AZ,May,2016,15.8888889,32,23.94444444,,,,,,,,,,,,,,,,
AZ,May,2017,16.5,33.0555556,24.77777778,,,,,,,,,,,,,,,,
AZ,May,2018,17,34.7222222,25.83333333,,,,,,,,,,,,,,,,
AZ,May,2019,13.8333333,29.3333333,21.61111111,,,,,,,,,,,,,,,,
AZ,May,2020,18.1666667,35.9444444,27.05555556,,,,,,,,,,,,,,,,
AZ,May,2021,16.9444444,34.4444444,25.72222222,,,,,,,,,,,,,,,,
AZ,May,2022,17.2222222,35.5555556,26.38888889,,,,,,,,,,,,,,,,
AZ,May,2023,16.8333333,33.4444444,25.16666667,,,,,,,,,,,,,,,,
AZ,June,2014,23.3888889,39.8888889,31.61111111,,,,,,,,,,,,,,,,
AZ,June,2015,23.4444444,39.3888889,31.61111111,,,,,,,,,,,,,,,,
AZ,June,2016,23.3888889,39.2777778,31.33333333,,,,,,,,,,,,,,,,
AZ,June,2017,23.3888889,40.7222222,32.05555556,,,,,,,,,,,,,,,,
AZ,June,2018,21.9444444,38.8888889,30.44444444,,,,,,,,,,,,,,,,
AZ,June,2019,20.8888889,38.2222222,29.55555556,,,,,,,,,,,,,,,,
AZ,June,2020,21.4444444,39,30.22222222,,,,,,,,,,,,,,,,
AZ,June,2021,23.8888889,40.3333333,32.11111111,,,,,,,,,,,,,,,,
AZ,June,2022,24.3888889,39.0555556,31.72222222,,,,,,,,,,,,,,,,
AZ,June,2023,20.5,37.8888889,29.16666667,,,,,,,,,,,,,,,,
AZ,July,2014,24.7777778,37.7777778,31.27777778,,,,,,,,,,,,,,,,
AZ,July,2015,24.6111111,36.8333333,30.72222222,,,,,,,,,,,,,,,,
AZ,July,2016,25.5555556,39.1666667,32.38888889,,,,,,,,,,,,,,,,
AZ,July,2017,24.2777778,37.3888889,30.83333333,,,,,,,,,,,,,,,,
AZ,July,2018,25.1111111,38.1666667,31.66666667,,,,,,,,,,,,,,,,
AZ,July,2019,25.0555556,39.7777778,32.44444444,,,,,,,,,,,,,,,,
AZ,July,2020,26.1111111,40,33.05555556,,,,,,,,,,,,,,,,
AZ,July,2021,23.6111111,36.2222222,29.88888889,,,,,,,,,,,,,,,,
AZ,July,2022,25.5555556,38.9444444,32.22222222,,,,,,,,,,,,,,,,
AZ,July,2023,26.6666667,42.4444444,34.55555556,,,,,,,,,,,,,,,,
AZ,August,2014,23.3333333,35.7222222,29.5,,,,,,,,,,,,,,,,
AZ,August,2015,24.7777778,38.5555556,31.66666667,,,,,,,,,,,,,,,,
AZ,August,2016,23.3888889,35.9444444,29.66666667,,,,,,,,,,,,,,,,
AZ,August,2017,23.7777778,37.3333333,30.55555556,,,,,,,,,,,,,,,,
AZ,August,2018,23.8888889,36.6666667,30.27777778,,,,,,,,,,,,,,,,
AZ,August,2019,24.7777778,38.8333333,31.83333333,,,,,,,,,,,,,,,,
AZ,August,2020,25.9444444,40.6666667,33.33333333,,,,,,,,,,,,,,,,
AZ,August,2021,23.5555556,36.1111111,29.83333333,,,,,,,,,,,,,,,,
AZ,August,2022,23.5555556,36.2222222,29.88888889,,,,,,,,,,,,,,,,
AZ,August,2023,25.3333333,38.9444444,32.16666667,,,,,,,,,,,,,,,,
AZ,September,2014,22.3333333,34.1111111,28.22222222,,,,,,,,,,,,,,,,
AZ,September,2015,22.0555556,34.3888889,28.22222222,,,,,,,,,,,,,,,,
AZ,September,2016,20.3333333,33.7222222,27,,,,,,,,,,,,,,,,
AZ,September,2017,20.7777778,35.8333333,28.33333333,,,,,,,,,,,,,,,,
AZ,September,2018,22.3888889,36.3888889,29.38888889,,,,,,,,,,,,,,,,
AZ,September,2019,21.2222222,34.6111111,27.88888889,,,,,,,,,,,,,,,,
AZ,September,2020,22.2777778,37.3333333,29.83333333,,,,,,,,,,,,,,,,
