larval_ID,pop_origin,photoperiod,full_treatment,5th_day,blocking_day,development_time,larval_mass,pupal_mass,sex,Experiment_Notes,percent_R,percent_G,percent_B,gray_R,gray_G,gray_B,darkness_G,initials
AZ101,AZ,10,AZ10,10/14,10/21,7,4.322,,,did not pupate,45.806,45.124,47.935,12.374,11.963,10.971,17.037,EB
AZ102,AZ,10,AZ10,10/15,10/23,8,5.1131,2.9647,F,,80.089,80.162,82.034,8.618,8.878,8.065,20.122,EB
AZ103,AZ,10,AZ10,10/15,10/24,9,2.6777,,,did not pupate,86.212,86.489,88.466,8.967,9.246,8.456,19.754,EB
AZ104,AZ,10,AZ10,10/15,10/22,7,4.2921,2.6803,F,,62.352,61.905,64.908,11.162,11.298,10.588,17.702,EB
AZ105,AZ,10,AZ10,10/17,10/24,7,4.5953,3.1802,F,,72.95,73.215,75.696,9.543,9.479,8.087,19.521,EB
AZ106,AZ,10,AZ10,10/18,10/24,6,4.2644,2.6635,M,,65.943,65.335,67.94,10.032,9.98,8.948,19.02,EB
AZ107,AZ,10,AZ10,10/18,10/26,8,2.957,2.3776,M,,64.706,64.938,69.117,8.081,8.033,7.111,20.967,EB
AZ108,AZ,10,AZ10,10/19,10/26,7,5.5798,2.3619,M,,73.687,72.52,75.336,8.398,8.214,7.29,20.786,EB
AZ109,AZ,10,AZ10,10/19,10/27,8,3.979,2.9601,F,,77.816,78.05,80.37,9.338,9.314,8.163,19.686,EB
AZ110,AZ,10,AZ10,10/19,10/26,7,3.161,2.8039,M,,19.781,20.16,23.364,13.814,13.414,11.786,15.586,EB
AZ111,AZ,10,AZ10,10/19,10/27,8,4.2657,3.4253,F,,55.548,55.351,59.413,11.3,11.142,10.181,17.858,EB
AZ112,AZ,10,AZ10,10/19,10/27,8,3.5252,2.336,M,,69.414,69.749,72.164,10.086,9.878,8.626,19.122,EB
AZ113,AZ,10,AZ10,10/20,10/27,7,3.8116,2.6267,F,,56.274,54.836,59.718,8.454,7.935,7.532,21.065,EB
AZ114,AZ,10,AZ10,10/20,10/27,7,5.4871,3.7228,F,,78.359,78.668,81.042,9.354,9.32,8.36,19.68,EB
AZ115,AZ,10,AZ10,10/20,10/28,8,4.491,3.5049,F,,64.782,64.942,68.839,9.356,9.05,8.357,19.95,EB
AZ116,AZ,10,AZ10,10/21,10/28,7,3.3477,2.0154,M,,83.342,83.558,85.807,8.09,8.04,7.29,20.96,EB
AZ117,AZ,10,AZ10,10/21,10/29,8,2.822,3.0178,F,,68.443,69.511,73.869,9.142,9.008,8.351,19.992,EB
AZ118,AZ,10,AZ10,10/22,10/29,7,3.766,2.4608,M,,54.936,53.68,57.786,10.01,9.794,9.957,19.206,EB
AZ119,AZ,10,AZ10,10/22,10/29,7,5.0862,3.3925,F,,80.047,79.852,83.279,6.577,6.685,5.931,22.315,EB
AZ120,AZ,10,AZ10,10/22,10/29,7,5.5317,3.1193,M,,50.339,49.942,53.425,7.34,7.371,6.805,21.629,EB
AZ121,AZ,10,AZ10,10/25,11/2,8,5.825,3.9752,F,,57.646,56.504,62.441,7.669,7.115,7.327,21.885,EB
AZ122,AZ,10,AZ10,10/22,10/29,7,4.8988,3.7187,F,,48.73,48.729,54.767,8.374,8.298,8.255,20.702,EB
AZ123,AZ,10,AZ10,10/23,10/30,7,4.5184,3.2268,F,,53.127,52.313,55.829,7.949,7.606,6.923,21.394,EB
AZ124,AZ,10,AZ10,10/23,11/2,10,1.7159,2.8603,F,Photo one day late,43.44,44.176,52.935,8.503,8.426,9.387,20.574,EB
AZ125,AZ,10,AZ10,10/23,10/31,8,3.7354,2.5517,M,Photo one day late,56.98,57.115,62.663,9.362,9.423,8.425,19.577,EB
AZ126,AZ,10,AZ10,10/25,11/1,7,5.6021,3.7057,F,,54.493,48.681,53.472,8.942,6.97,7.228,22.03,EB
AZ127,AZ,10,AZ10,10/26,11/1,6,4.7112,2.7293,M,,46.414,44.769,49.093,6.531,5.816,5.913,23.184,EB
AZ128,AZ,10,AZ10,10/26,11/2,7,4.528,3.7448,F,,29.126,28.841,33.401,9.853,9.694,9.223,19.306,AC
AZ129,AZ,10,AZ10,10/27,11/2,6,4.2946,2.3273,M,,70.33,70.552,74.463,11.226,11.066,9.757,17.934,AC
AZ130,AZ,10,AZ10,10/28,11/3,6,5.0137,2.6662,F,,65.452,63.245,67.286,9.602,9.158,8.546,19.842,AC
AZ131,AZ,10,AZ10,10/28,11/4,7,5.4474,2.9818,M,,59.349,59.426,63.79,7.369,7.388,6.446,21.612,AC
AZ132,AZ,10,AZ10,10/28,11/4,7,4.5788,,,did not pupate,55.026,54.406,57.574,6.756,6.521,5.968,22.479,AC
AZ133,AZ,10,AZ10,10/28,11/5,8,3.483,2.2242,M,photo one day late,60.054,56.998,64.155,8.603,7.898,8.06,21.102,AC
AZ134,AZ,10,AZ10,10/28,11/5,8,4.6612,3.4636,F,,69.929,67.57,72.979,7.593,6.976,6.676,22.024,AC
AZ135,AZ,10,AZ10,10/28,11/4,7,5.2392,3.0148,M,,57.833,56.3876,60.231,7.844,7.408,6.894,21.592,AC
AZ136,AZ,10,AZ10,10/28,11/4,7,5.5693,3.4226,F,,42.863,40.597,44.434,8.965,8.315,7.87,20.685,AC
AZ137,AZ,10,AZ10,10/29,11/5,7,6.0503,3.8822,F,,71.3,71.121,76.413,8.931,8.994,8.343,20.006,AC
AZ138,AZ,10,AZ10,10/29,11/5,7,5.3284,2.9251,M,,56.251,55.753,59.037,8.378,8.568,7.8,20.432,AC
AZ139,AZ,10,AZ10,10/29,11/6,8,6.8291,4.2768,F,,54.03,53.235,55.92,8.115,7.982,7.014,21.018,AC
AZ140,AZ,10,AZ10,10/29,11/5,7,5.1698,2.9365,M,,35.431,34.178,36.556,9.54,9.06,8.253,19.94,AC
AZ141,AZ,10,AZ10,10/29,11/5,7,5.6477,3.3525,M,,71.195,70.469,73.521,7.12,7.199,6.536,21.801,AC
AZ142,AZ,10,AZ10,10/29,11/5,7,6.0365,3.4428,F,,55.725,55.937,59.995,8.446,8.445,7.795,20.555,AC
AZ143,AZ,10,AZ10,10/29,11/6,8,6.6661,3.9494,F,,64.042,63.298,66.375,8.994,8.685,7.956,20.315,AC
AZ144,AZ,10,AZ10,10/29,11/5,7,4.5569,2.8477,M,,39.437,38.516,41.553,8.951,8.664,7.979,20.336,AC
AZ145,AZ,10,AZ10,10/29,11/6,8,5.6477,4.2173,F,,61.58,61.542,64.754,8.502,8.357,7.801,20.643,AC
AZ146,AZ,10,AZ10,10/29,11/6,8,4.5959,3.7426,F,,59.522,59.551,63.448,7.903,7.776,7.172,21.224,AC
AZ147,AZ,10,AZ10,10/29,11/6,8,4.8476,3.1814,M,,78.148,77.965,80.808,7.555,7.603,6.89,21.397,AC
